entidade;devedora_especifica;qtd_pendentes
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;"FUNAP - FUNDAÇÃO ""PROF. DR. MANOEL PEDRO PIMENTEL""";1
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FUNDAÇÃO MEMORIAL DA AMÉRICA LATINA;3
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;ARTESP - AGÊNCIA REGUL. DE SERV. PÚBL. DELEG. DE TRANSP. DO EST. DE SÃO PAULO;64
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;HOSPITAL DAS CLÍNICAS DA FAC. DE MEDICINA DE RIBEIRÃO PRETO;123
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;DETRAN - DEPARTAMENTO ESTADUAL DE TRÂNSITO DE SÃO PAULO;282
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FAZENDA DO ESTADO DE SÃO PAULO, SUCESSORA DA SUDELPA;45
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;INSTITUTO DE MEDICINA SOCIAL E DE CRIMINOLOGIA DE SÃO PAULO;20
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;HCFAMEMA - HOSPITAL DAS CLÍNICAS DA FACULDADE DE MEDICINA DE MARÍLIA;11
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;JUCESP - JUNTA COMERCIAL DO ESTADO DE SAO PAULO;15
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;HOSPITAL DAS CLÍNICAS DA FACULDADE DE MEDICINA DE BOTUCATU;19
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FUNDAÇÃO PRÓ-SANGUE - HEMOCENTRO DE SÃO PAULO;8
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;DERSA - DESENVOLVIMENTO RODOVIÁRIO S/A;92
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FAENQUIL - FAZENDA DO ESTADO DE SÃO PAULO (SUCESSORA);8
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;F.U.M.E.S.P - SUCESSORA FAZENDA DO ESTADO DE SÃO PAULO;1
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FDE - FUNDAÇÃO PARA O DESENVOLVIMENTO DA EDUCAÇÃO;13
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FAMEMA - FACULDADE DE MEDICINA DE MARÍLIA;11
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;IPESP - CARTEIRA DE PREVID. DAS SERV. NOTARIAIS E DE REGISTRO;7
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;IPESP - CARTEIRA DE PREV. DOS ADVOGADOS DE SÃO PAULO;11
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;IPEM - INSTITUTO DE PESOS E MEDIDAS DO ESTADO DE SÃO PAULO;4
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FUNDAÇÃO MUNICIPAL DE ENSINO SUPERIOR DE MARÍLIA;2
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FURP - FUNDAÇÃO PARA O REMÉDIO POPULAR;3
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;ITESP - FUNDAÇÃO INSTITUTO DE TERRAS DO ESTADO DE SÃO PAULO;6
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;HOSPITAL UNIVERSITÁRIO DA USP;2
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FAMERP - FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;61
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;SEADE - FUNDAÇÃO SISTEMA ESTADUAL DE ANÁLISE DE DADOS;4
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;AGÊNCIA ESTADUAL DE GESTÃO DE EMPREENDIMENTOS - AGESUL/MS;1
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FAPESP - FUNDAÇÃO DE AMPARO A PESQUISA DO ESTADO DE SÃO PAULO;1
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;CETESB - COMPANHIA AMBIENTAL DO EST. DE SÃO PAULO;3
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FUNDAÇÃO PADRE ANCHIETA - CENTRO PAULISTA DE RÁDIO E TV EDUCATIVAS;1
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;MUNICÍPIO DE GUARULHOS;822
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;SEMASA - SERVIÇO MUNICIPAL DE SANEAMENTO AMBIENTAL DE SANTO ANDRÉ;184
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;IPSA - INSTITUTO DE PREVIDÊNCIA DE SANTO ANDRÉ;57
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;MUNICÍPIO DE SANTO ANDRÉ;476
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;FAISA - FUNDAÇÃO DE ASSISTÊNCIA À INFÂNCIA DE SANTO ANDRÉ;5
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;HOSPITAL MUNICIPAL DE SANTO ANDRÉ;1
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SANTO ANDRÉ;1
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;MUNICÍPIO DE SÃO VICENTE;646
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;CAIXA DE SAÚDE E PECÚLIO DOS SERV. MUN. DE SÃO VICENTE;18
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;INSTITUTO DE PREVIDÊNCIA DOS SERV. MUNIC. DE SÃO VICENTE;9
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;SESASV - SERVIÇO DE SAÚDE DE SÃO VICENTE;7
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;MUNICÍPIO DE SÃO PAULO;61326
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;IPREM - INSTITUTO DE PREVIDÊNCIA DO MUNICÍPIO DE SÃO PAULO;1460
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO;712
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;AUTARQUIA HOSPITALAR MUNICIPAL REGIONAL DE ERMELINO MATARAZZO;3
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;AUTARQUIA HOSPITALAR MUNICIPAL REGIONAL DO JABAQUARA;4
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;SPTRANS - SÃO PAULO TRANSPORTE S.A.;52
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;AUTARQUIA HOSPITALAR MUNICIPAL REGIONAL DE CAMPO LIMPO;14
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;SÃO PAULO URBANISMO - SP-URBANISMO;7
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;AUTARQUIA HOSPITALAR MUNICIPAL REGIONAL CENTRAL;32
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;AUTARQUIA HOSPITALAR MUNICIPAL REGIONAL DO TATUAPÉ;33
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;COHAB - CIA METROPOLITANA DE HABITACAO DE SAO PAULO;9
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;CÂMARA MUNICIPAL DE SÃO PAULO;4
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;FUNDACAO THEATRO MUNICIPAL DE SAO PAULO;1
